Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Expected Payout
1,0,2,6,0,4,0,0.0
1,0,2,6,0,4,1,0.0
1,1,2,6,2,4,0,0.0
1,1,2,6,2,4,1,0.0
1,0,1,4,0,4,0,0.0
1,0,1,4,0,4,1,0.0
1,1,1,4,0,4,0,0.0
1,1,1,4,0,4,1,0.0
1,0,3,4,0,6,0,0.0
1,0,3,4,0,6,1,0.0
1,1,3,4,2,6,0,0.0
1,1,3,4,2,6,1,0.0
1,0,5,5,0,6,0,0.0
1,0,5,5,0,6,1,0.0
1,1,5,5,2,6,0,0.0
1,1,5,5,2,6,1,0.0
1,0,1,5,0,6,0,0.0
1,0,1,5,0,6,1,0.0
1,1,1,5,0,6,0,0.0
1,1,1,5,0,6,1,0.0
1,0,1,4,0,6,0,0.0
1,0,1,4,0,6,1,0.0
1,1,1,4,0,6,0,0.0
1,1,1,4,0,6,1,0.0
1,0,1,5,0,5,0,0.0
1,0,1,5,0,5,1,0.0
1,1,1,5,0,5,0,0.0
1,1,1,5,0,5,1,0.0
1,0,1,4,0,5,0,0.0
1,0,1,4,0,5,1,0.0
1,1,1,4,0,5,0,0.0
1,1,1,4,0,5,1,0.0
1,0,3,5,0,6,0,0.0
1,0,3,5,0,6,1,0.0
1,1,3,5,2,6,0,0.0
1,1,3,5,2,6,1,0.0
1,0,3,5,0,7,0,0.0
1,0,3,5,0,7,1,0.0
1,1,3,5,2,7,0,0.0
1,1,3,5,2,7,1,0.0
1,0,3,6,0,6,0,0.0
1,0,3,6,0,6,1,0.0
1,1,3,6,2,6,0,0.0
1,1,3,6,2,6,1,0.0
1,0,3,4,0,5,0,0.0
1,0,3,4,0,5,1,0.0
1,1,3,4,2,5,0,0.0
1,1,3,4,2,5,1,0.0
1,1,1,4,2,5,0,0.0
1,1,1,4,2,5,1,0.0
1,0,3,4,0,4,0,0.0
1,0,3,4,0,4,1,0.0
1,1,3,4,2,4,0,0.0
1,1,3,4,2,4,1,0.0
1,0,3,7,0,5,0,0.0
1,0,3,7,0,5,1,0.0
1,1,3,7,2,5,0,0.0
1,1,3,7,2,5,1,0.0
1,0,3,6,0,5,0,0.0
1,0,3,6,0,5,1,0.0
1,1,3,6,2,5,0,0.0
1,1,3,6,2,5,1,0.0
1,0,1,7,0,5,0,0.0
1,0,1,7,0,5,1,0.0
1,1,1,7,4,5,0,0.0
1,1,1,7,4,5,1,0.0
1,0,2,4,0,5,0,0.0
1,0,2,4,0,5,1,0.0
1,1,2,4,2,5,0,0.0
1,1,2,4,2,5,1,0.0
1,0,0,4,0,5,0,0.0
1,0,0,4,0,5,1,0.0
1,1,0,4,4,5,0,0.0
1,1,0,4,4,5,1,0.0
1,0,0,4,0,4,0,0.0
1,0,0,4,0,4,1,0.0
1,1,0,4,4,4,0,0.0
1,1,0,4,4,4,1,0.0
1,0,1,3,0,4,0,0.0
1,0,1,3,0,4,1,0.0
1,1,1,3,6,4,0,0.0
1,1,1,3,6,4,1,0.0
1,0,1,2,0,4,0,0.0
1,0,1,2,0,4,1,0.0
1,1,1,2,6,4,0,0.0
1,1,1,2,6,4,1,0.0
1,1,1,4,7,6,0,0.0
1,1,1,4,7,6,1,0.0
1,1,1,5,7,6,0,0.0
1,1,1,5,7,6,1,0.0
1,0,1,6,0,5,0,0.0
1,0,1,6,0,5,1,0.0
1,1,1,6,7,5,0,0.0
1,1,1,6,7,5,1,0.0
1,0,0,4,0,6,0,0.0
1,0,0,4,0,6,1,0.0
1,1,0,4,7,6,0,0.0
1,1,0,4,7,6,1,0.0
1,0,0,6,0,4,0,0.0
1,0,0,6,0,4,1,0.0
1,1,0,6,7,4,0,0.0
1,1,0,6,7,4,1,0.0
1,1,0,4,7,4,0,0.0
1,1,0,4,7,4,1,0.0
1,1,0,4,7,5,0,0.0
1,1,0,4,7,5,1,0.0
1,0,0,5,0,4,0,0.0
1,0,0,5,0,4,1,0.0
1,1,0,5,7,4,0,0.0
1,1,0,5,7,4,1,0.0
1,0,0,4,0,3,0,0.0
1,0,0,4,0,3,1,0.0
1,1,0,4,7,3,0,0.0
1,1,0,4,7,3,1,0.0
1,1,0,5,8,4,0,0.0
1,1,0,5,8,4,1,0.0
1,1,1,5,7,5,0,0.0
1,1,1,5,7,5,1,0.0
1,1,1,4,7,5,0,0.0
1,1,1,4,7,5,1,0.0
1,0,0,8,0,4,0,0.0
1,0,0,8,0,4,1,0.0
1,1,0,8,8,4,0,0.0
1,1,0,8,8,4,1,0.0
1,0,1,8,0,5,0,0.0
1,0,1,8,0,5,1,0.0
1,1,1,8,8,5,0,0.0
1,1,1,8,8,5,1,0.0
1,1,0,6,8,4,0,0.0
1,1,0,6,8,4,1,0.0
1,0,1,8,0,4,0,0.0
1,0,1,8,0,4,1,0.0
1,1,1,8,8,4,0,0.0
1,1,1,8,8,4,1,0.0
1,0,0,7,0,4,0,0.0
1,0,0,7,0,4,1,0.0
1,1,0,7,8,4,0,0.0
1,1,0,7,8,4,1,0.0
1,0,2,7,0,5,0,0.0
1,0,2,7,0,5,1,0.0
1,1,2,7,8,5,0,0.0
1,1,2,7,8,5,1,0.0
1,0,0,8,0,5,0,0.0
1,0,0,8,0,5,1,0.0
1,1,0,8,8,5,0,0.0
1,1,0,8,8,5,1,0.0
1,0,2,7,0,4,0,0.0
1,0,2,7,0,4,1,0.0
1,1,2,7,8,4,0,0.0
1,1,2,7,8,4,1,0.0
1,0,2,8,0,3,0,0.0
1,0,2,8,0,3,1,0.0
1,1,2,8,8,3,0,0.0
1,1,2,8,8,3,1,0.0
1,1,2,6,8,4,0,0.0
1,1,2,6,8,4,1,0.0
1,1,0,5,5,4,0,0.0
1,1,0,5,5,4,1,0.0
1,1,3,4,8,4,0,0.0
1,1,3,4,8,4,1,0.0
1,1,3,4,8,5,0,0.0
1,1,3,4,8,5,1,0.0
1,0,2,5,0,5,0,0.0
1,0,2,5,0,5,1,0.0
1,1,2,5,8,5,0,0.0
1,1,2,5,8,5,1,0.0
1,1,2,4,8,5,0,0.0
1,1,2,4,8,5,1,0.0
1,1,0,4,8,6,0,0.0
1,1,0,4,8,6,1,0.0
1,0,2,5,0,6,0,0.0
1,0,2,5,0,6,1,0.0
1,1,2,5,8,6,0,0.0
1,1,2,5,8,6,1,0.0
1,0,4,5,0,7,0,0.0
1,0,4,5,0,7,1,0.0
1,1,4,5,8,7,0,0.0
1,1,4,5,8,7,1,0.0
1,0,4,6,0,7,0,0.0
1,0,4,6,0,7,1,0.0
1,1,4,6,8,7,0,0.0
1,1,4,6,8,7,1,0.0
1,0,3,6,0,7,0,0.0
1,0,3,6,0,7,1,0.0
1,1,3,6,8,7,0,0.0
1,1,3,6,8,7,1,0.0
1,0,1,5,0,7,0,0.0
1,0,1,5,0,7,1,0.0
1,1,1,5,8,7,0,0.0
1,1,1,5,8,7,1,0.0
1,0,1,7,0,7,0,0.0
1,0,1,7,0,7,1,0.0
1,1,1,7,8,7,0,0.0
1,1,1,7,8,7,1,0.0
1,0,1,8,0,7,0,0.0
1,0,1,8,0,7,1,0.0
1,1,1,8,8,7,0,0.0
1,1,1,8,8,7,1,0.0
1,0,1,8,0,6,0,0.0
1,0,1,8,0,6,1,0.0
1,1,1,8,8,6,0,0.0
1,1,1,8,8,6,1,0.0
1,0,0,8,0,6,0,0.0
1,0,0,8,0,6,1,0.0
1,1,0,8,8,6,0,0.0
1,1,0,8,8,6,1,0.0
1,1,1,6,8,5,0,0.0
1,1,1,6,8,5,1,0.0
1,1,1,5,8,5,0,0.0
1,1,1,5,8,5,1,0.0
1,0,0,9,0,5,0,0.0
1,0,0,9,0,5,1,0.0
1,1,0,9,8,5,0,0.0
1,1,0,9,8,5,1,0.0
1,0,1,6,0,4,0,0.0
1,0,1,6,0,4,1,0.0
1,1,1,6,8,4,0,0.0
1,1,1,6,8,4,1,0.0
1,0,1,5,0,4,0,0.0
1,0,1,5,0,4,1,0.0
1,1,1,5,8,4,0,0.0
1,1,1,5,8,4,1,0.0
1,0,1,9,0,4,0,0.0
1,0,1,9,0,4,1,0.0
1,1,1,9,8,4,0,0.0
1,1,1,9,8,4,1,0.0
1,0,9,8,0,5,0,0.0
1,0,9,8,0,5,1,0.0
1,1,9,8,8,5,0,0.0
1,1,9,8,8,5,1,0.0
1,0,9,8,0,6,0,0.0
1,0,9,8,0,6,1,0.0
1,1,9,8,8,6,0,0.0
1,1,9,8,8,6,1,0.0
1,0,4,5,0,5,0,0.0
1,0,4,5,0,5,1,0.0
1,1,4,5,8,5,0,0.0
1,1,4,5,8,5,1,0.0
1,0,0,5,0,5,0,0.0
