Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
0,1,2,6,2,5,0,-0.48853859166501107,1
1,0,1,5,0,4,0,no trade ,0
0,1,0,5,7,5,0,0.05946899911432311,0.553
1,0,1,6,7,5,0,no trade ,0
0,1,4,5,6,5,1,no trade ,0
1,1,4,6,6,4,0,no trade ,0
0,1,0,5,7,5,0,-0.04377081497363839,0.727
1,0,0,5,7,5,0,no trade ,0
0,1,0,6,8,5,1,no trade ,0
1,1,0,5,8,5,0,no trade ,0
0,1,3,5,6,5,1,no trade ,0
1,1,3,5,6,5,0,no trade ,0
0,1,0,4,6,5,1,no trade ,0
1,1,0,4,6,5,0,no trade ,0
0,1,2,1,7,5,0,0.11972197275717213,1
1,0,2,2,0,4,0,no trade ,0
0,1,0,1,8,5,1,no trade ,0
1,1,0,1,8,5,0,no trade ,0
0,1,1,2,5,5,0,-0.1415618411940979,1
1,0,1,3,0,5,0,no trade ,0
0,1,2,2,7,5,1,no trade ,0
1,1,2,2,7,5,0,no trade ,0
0,1,2,3,6,5,0,0.021229288387947323,1
0,1,1,4,0,5,0,-0.7812760676135941,1
1,0,1,5,0,5,0,no trade ,0
0,1,1,6,6,5,1,no trade ,0
1,1,2,6,7,5,0,no trade ,0
0,1,4,6,6,5,1,no trade ,0
1,1,3,5,5,5,0,no trade ,0
0,1,0,5,7,5,0,-0.04377081497363839,0.404
1,0,2,4,7,5,0,no trade ,0
0,1,0,5,8,5,1,no trade ,0
1,1,0,5,8,5,0,no trade ,0
0,1,3,5,6,5,1,no trade ,0
1,1,3,7,6,5,0,no trade ,0
0,1,0,4,6,5,1,no trade ,0
1,1,0,4,6,4,0,no trade ,0
0,1,2,2,7,5,1,no trade ,0
1,1,0,1,6,4,0,no trade ,0
0,1,0,1,8,5,1,no trade ,0
1,1,1,0,8,4,0,no trade ,0
0,1,1,3,6,5,0,-0.15188886677365812,1
1,0,1,2,0,5,0,no trade ,0
0,1,2,2,7,5,1,no trade ,0
1,1,2,2,7,5,0,no trade ,0
0,1,2,2,6,5,0,0.021231059051371143,1
0,1,3,4,2,5,0,-0.48852450744798875,0.997
1,0,1,4,7,5,0,no trade ,0
0,1,2,6,7,5,0,0.20811547846054979,0.3340000000000001
1,0,2,5,4,4,0,no trade ,0
0,1,3,5,5,5,0,-0.21581762574493205,0.21799999999999997
1,0,4,4,6,4,0,no trade ,0
0,1,2,4,7,5,0,-0.048641495845725885,0.869
1,0,2,4,7,5,0,no trade ,0
0,1,0,5,8,5,1,no trade ,0
1,1,5,5,8,5,0,no trade ,0
0,1,3,7,6,5,0,0.05103841124180786,1
1,0,3,7,0,5,0,no trade ,0
0,1,0,4,6,5,1,no trade ,0
1,1,0,4,6,5,0,no trade ,0
0,1,0,1,6,5,0,-0.1233193962801616,0.536
1,0,2,2,7,5,0,no trade ,0
0,1,1,0,8,5,1,no trade ,0
1,1,1,0,8,5,0,no trade ,0
0,1,1,2,6,5,0,-0.15189240363789894,1
1,0,1,2,0,5,0,no trade ,0
0,1,2,2,7,5,1,no trade ,0
1,1,2,2,7,5,0,no trade ,0
0,1,2,3,6,5,0,0.021232829714837528,1
0,1,5,5,2,5,0,-0.48850866269907806,0.997
1,0,1,5,7,5,0,no trade ,0
0,1,2,5,4,5,1,no trade ,0
1,1,2,5,4,5,0,no trade ,0
0,1,4,4,6,5,1,no trade ,0
1,1,2,3,5,6,0,no trade ,0
0,1,2,4,7,5,0,-0.04860616695493139,0.869
1,0,2,4,7,5,0,no trade ,0
0,1,5,5,8,5,0,0.4744688584378475,1
1,0,1,5,0,4,0,no trade ,0
0,1,3,7,6,5,0,0.05103486739990306,1
1,0,3,6,0,4,0,no trade ,0
0,1,0,4,6,5,1,no trade ,0
1,1,0,4,6,5,0,no trade ,0
0,1,2,2,7,5,1,no trade ,0
1,1,0,2,7,5,0,no trade ,0
0,1,1,0,8,5,1,no trade ,0
1,1,0,2,8,5,0,no trade ,0
0,1,1,2,6,5,0,-0.07226797609050688,1
1,0,1,2,0,5,0,no trade ,0
0,1,2,2,7,5,1,no trade ,0
1,1,2,2,7,5,0,no trade ,0
0,1,2,3,6,5,0,0.021232829714837528,1
0,1,1,5,0,5,0,-0.7783375282774989,0.665
1,0,1,4,7,5,0,no trade ,0
0,1,2,5,4,5,1,no trade ,0
1,1,0,5,5,4,0,no trade ,0
0,1,2,3,5,5,0,-0.10166065099631594,0.799
1,0,2,4,5,6,0,no trade ,0
0,1,2,4,7,5,0,-0.04860793511818044,0.55
1,0,2,4,7,5,0,no trade ,0
0,1,1,5,8,5,1,no trade ,0
1,1,1,5,8,5,0,no trade ,0
0,1,3,6,6,5,0,0.05103664022518438,1
1,0,3,7,0,5,0,no trade ,0
0,1,0,4,6,5,1,no trade ,0
1,1,0,4,6,4,0,no trade ,0
0,1,0,2,7,5,0,0.12067574877841758,1
1,0,2,2,0,4,0,no trade ,0
0,1,0,2,8,5,1,no trade ,0
1,1,2,4,9,5,0,no trade ,0
0,1,1,2,6,5,0,-0.15036324949228394,1
1,0,1,2,0,5,0,no trade ,0
0,1,2,2,7,5,1,no trade ,0
1,1,2,4,7,5,0,no trade ,0
0,1,2,4,7,5,0,0.019465738759660144,0.566
0,1,1,4,0,5,0,-0.8821550475856118,0.665
1,0,0,8,8,5,0,no trade ,0
0,1,0,5,5,5,0,0.049694367834980616,0.134
1,0,0,8,6,5,0,no trade ,0
0,1,2,4,5,5,0,-0.02453809692024312,0.799
1,0,0,5,6,5,0,no trade ,0
0,1,2,4,7,5,0,-0.04860793511818044,0.55
1,0,2,4,7,5,0,no trade ,0
0,1,1,5,8,5,1,no trade ,0
1,1,3,6,6,5,0,no trade ,0
0,1,3,7,6,5,0,0.05101536813379823,1
1,0,3,6,0,6,0,no trade ,0
0,1,0,4,6,5,1,no trade ,0
1,1,0,4,6,5,0,no trade ,0
0,1,2,2,7,5,1,no trade ,0
1,1,2,1,7,5,0,no trade ,0
0,1,2,4,9,5,1,no trade ,0
1,1,3,3,9,5,0,no trade ,0
0,1,1,2,6,5,0,-0.15036324949228394,1
1,0,1,2,0,5,0,no trade ,0
0,1,2,4,7,5,0,0.11873612654806592,1
1,0,2,4,0,5,0,no trade ,0
0,1,2,4,6,5,1,no trade ,0
0,1,1,5,0,5,0,-0.8630272027414485,1
1,0,1,8,0,4,0,no trade ,0
0,1,0,8,6,5,1,no trade ,0
1,1,5,5,6,5,0,no trade ,0
0,1,0,5,7,5,0,0.10266817580688034,0.49
1,0,1,5,7,5,0,no trade ,0
0,1,2,4,7,5,0,-0.04860793511818044,0.55
1,0,0,3,7,5,0,no trade ,0
0,1,3,6,6,5,0,0.2555745435456403,1
1,0,2,5,0,4,0,no trade ,0
0,1,3,6,6,5,0,0.05101536813379823,1
1,0,3,6,0,5,0,no trade ,0
0,1,0,4,6,5,1,no trade ,0
1,1,2,4,6,5,0,no trade ,0
0,1,2,1,7,5,0,0.12076085108793369,1
1,0,2,2,0,5,0,no trade ,0
0,1,3,3,9,5,1,no trade ,0
1,1,4,2,9,5,0,no trade ,0
0,1,1,2,6,5,0,-0.07229274108987863,1
1,0,1,2,0,5,0,no trade ,0
0,1,2,4,7,5,0,0.11874854167525956,1
1,0,2,4,0,5,0,no trade ,0
0,1,1,4,6,5,0,-0.015919915584279378,1
0,1,1,5,0,5,0,-0.8487548952348872,1
1,0,0,8,0,5,0,no trade ,0
0,1,5,5,6,5,1,no trade ,0
1,1,9,6,8,5,0,no trade ,0
0,1,1,5,7,5,1,no trade ,0
1,1,1,6,7,5,0,no trade ,0
0,1,0,3,7,5,1,no trade ,0
1,1,2,4,7,6,0,no trade ,0
0,1,2,5,6,5,1,no trade ,0
1,1,2,5,6,6,0,no trade ,0
0,1,3,6,6,5,0,0.05101182429245857,1
1,0,3,6,0,5,0,no trade ,0
0,1,2,4,6,5,1,no trade ,0
1,1,2,4,6,5,0,no trade ,0
0,1,2,2,7,5,1,no trade ,0
1,1,2,2,7,5,0,no trade ,0
0,1,4,2,9,5,1,no trade ,0
1,1,4,2,9,5,0,no trade ,0
0,1,1,2,6,5,0,-0.10720081186143741,1
1,0,1,2,0,5,0,no trade ,0
0,1,2,4,7,5,0,0.11874854167525956,1
1,0,2,4,0,5,0,no trade ,0
0,1,1,4,6,5,0,-0.015919915584279378,1
0,1,1,4,0,5,0,-0.8244301289271727,1
1,0,1,8,0,4,0,no trade ,0
0,1,9,6,8,5,1,no trade ,0
1,1,9,6,8,5,0,no trade ,0
0,1,1,6,7,5,1,no trade ,0
1,1,2,5,8,5,0,no trade ,0
0,1,2,4,7,5,0,-0.028248595558444032,1
1,0,2,4,0,5,0,no trade ,0
0,1,2,5,6,5,1,no trade ,0
1,1,2,6,6,5,0,no trade ,0
0,1,3,6,6,5,0,0.050994097857100164,1
1,0,3,7,0,4,0,no trade ,0
0,1,2,4,6,5,1,no trade ,0
1,1,2,5,8,5,0,no trade ,0
0,1,2,2,7,5,1,no trade ,0
1,1,2,2,7,5,0,no trade ,0
0,1,4,2,9,5,1,no trade ,0
1,1,3,1,9,4,0,no trade ,0
0,1,1,2,6,5,0,-0.13044282993552203,0.473
1,0,1,3,6,5,0,no trade ,0
0,1,2,4,7,5,0,0.11873081599306327,1
1,0,2,3,0,5,0,no trade ,0
0,1,1,4,6,5,0,-0.015923456097021303,1
0,1,1,4,0,5,0,-0.8756625867173216,1
1,0,0,6,0,5,0,no trade ,0
0,1,9,6,8,5,1,no trade ,0
1,1,9,8,8,4,0,no trade ,0
0,1,2,5,8,5,1,no trade ,0
1,1,0,5,8,5,0,no trade ,0
0,1,2,4,7,5,0,-0.028246828753129047,1
1,0,2,6,0,5,0,no trade ,0
0,1,2,6,6,5,1,no trade ,0
1,1,2,4,6,5,0,no trade ,0
0,1,3,7,6,5,0,0.04971477131161103,1
1,0,3,7,0,5,0,no trade ,0
0,1,2,5,8,5,1,no trade ,0
1,1,2,5,8,5,0,no trade ,0
0,1,2,2,7,5,1,no trade ,0
1,1,2,2,7,4,0,no trade ,0
0,1,3,1,9,5,1,no trade ,0
1,1,3,3,9,5,0,no trade ,0
0,1,1,3,6,5,0,-0.13044282993550194,1
1,0,1,3,0,5,0,no trade ,0
0,1,2,3,7,5,0,0.11873791215293972,1
1,0,2,4,0,5,0,no trade ,0
0,1,1,4,6,5,0,-0.01592168612248488,1
